cluster_size,au_atoms,ag_atoms,au_ag_ratio,avg_binding_energy_ev,coordination_number,surface_energy_ev,stability_score,homo_lumo_gap_ev,formation_energy_ev
56,4,25,0.421248053294072,-1.914927288637964,7.357019062454483,1.769488282208059,3.1183808388821794,1.9896714153011232,92.78551971391082
97,69,2,0.6361773647082327,-3.677785231973427,4.404979778152593,0.8728396097079492,2.7565417132267744,1.5161735698828815,290.0193024157018
19,25,40,0.785651618080232,-2.078787288399891,4.315134669542555,1.9987388732899136,1.9251854715030077,2.3747688538100693,31.89571863327921
76,67,59,0.1183361909233873,-3.914278191130524,8.591598928552084,1.5913919376260517,4.285408631553997,1.8923029856408025,234.75343013220802
65,18,13,0.4099048896962882,-3.4639741432653364,7.143160871145432,0.9081287770932012,3.5632923340027727,1.8265846625276665,183.61777201786546
25,83,74,0.8398022856356172,-3.493168637190472,4.229219420621236,1.0838223469956143,2.8508981294173243,2.2265863043050818,71.8307996709182
87,96,81,0.383832951933044,-1.5644235948325784,8.666019138500454,1.9972174171636647,3.046053912483585,1.787921281550739,113.35984830048614
91,19,11,0.5718722712271865,-1.9303883287562196,4.09042029271218,1.4652024713230414,2.274689629870307,1.6667434729152908,143.70812934186264
79,11,86,0.5877693608621982,-2.396490415229221,10.298975665194185,0.9320628807861444,4.218669151229234,1.6630525614065048,156.70595781908344
79,46,11,0.1844762531336393,-2.318829715153829,6.451462581626973,2.434542380740595,2.704040964098707,1.7642560043585964,143.87386193991915
92,0,12,0.3622354416522884,-2.8137816167922867,4.322064024073857,1.930250039633776,2.385566697924263,1.5336582307187538,213.6812973240839
28,89,24,0.3345112887419321,-1.6587279986744423,8.706817767865227,2.4142696650795923,2.915110978422077,2.173427024642974,38.143505193769506
7,13,44,0.0261967085320647,-3.0112237413529157,7.1814753154644375,1.3542100907206864,3.1980619165050594,2.4541962271566033,27.239157314702656
26,63,18,0.0241917638913552,-3.3584468703903165,11.790403306857195,1.450200681383441,4.946727908237729,2.04867197553422,66.40975581367074
57,37,54,0.8316970436757735,-4.010893989205227,8.353589300029618,2.2959104323700386,3.95970456947127,1.7575082167486966,191.57658492358462
6,36,99,0.2730708099728124,-2.141383043216826,6.201913448296066,1.5500986804907693,2.3988923951123238,2.3837712470759027,11.268192524754005
92,10,44,0.5180787662388154,-2.296668203773226,9.675510917071795,1.9145578238113343,4.0648377534174,1.4787168879665578,165.7776897796372
34,99,7,0.298725573588773,-3.3469348844275952,6.171936020341691,1.00434575499106,3.414972539693631,2.1914247332595274,88.61719968615898
42,76,92,0.9406792451153404,-4.424419758122312,11.23394633126052,1.393452937405281,5.162854404426562,1.989197592447879,147.05876733193807
6,2,52,0.2592967588657737,-1.983008016845968,6.997775764059012,0.7468997316207102,2.914385469158533,2.2987696298664706,11.63926821287023
